text,intent
Tôi cần xem tôi có đạt loại khá không như thế nào,training_score
Toi can xem toi co dat loai kha khong nhu the nao,training_score
Tôi muốn hỏi minh chứng không hợp lệ có bị trừ điểm không được không bạn,absent_penalty
Toi muon hoi minh chung khong hop le co bi tru diem khong duoc khong ban,absent_penalty
Mình cần biết danh sách hoạt động sắp tới được không bạn,upcoming_activity
Minh can biet danh sach hoat dong sap toi duoc khong ban,upcoming_activity
Tôi cần xem cách tìm phòng học hiện tại,map_help
Toi can xem cach tim phong hoc hien tai,map_help
Bạn giải thích giúp tìm sân trường trên bản đồ,map_help
Ban giai thich giup tim san truong tren ban do,map_help
Cho mình hỏi hoạt động cá nhân của tôi hiện tại,my_activities
Cho minh hoi hoat dong ca nhan cua toi hien tai,my_activities
Cho mình hỏi danh sách đăng ký của tôi cho tôi,my_activities
Cho minh hoi danh sach dang ky cua toi cho toi,my_activities
Cho tôi xem trạng thái điểm danh của tôi giúp tôi,attendance_status
Cho toi xem trang thai diem danh cua toi giup toi,attendance_status
Hỏi chút là vắng bị trừ 6 điểm phải không được không bạn,absent_penalty
Hoi chut la vang bi tru 6 diem phai khong duoc khong ban,absent_penalty
Bạn kiểm tra giúp thông báo đã đọc xem lại ở đâu hiện tại,notification_help
Ban kiem tra giup thong bao da doc xem lai o dau hien tai,notification_help
Bạn kiểm tra giúp xin chào được không,greeting
Ban kiem tra giup xin chao duoc khong,greeting
Tôi muốn xem điểm và xếp loại,training_score
Toi muon xem diem va xep loai,training_score
Điểm danh đã được chốt chưa,attendance_status
Diem danh da duoc chot chua,attendance_status
Không tham gia sau khi đăng ký thì sao như thế nào,absent_penalty
Khong tham gia sau khi dang ky thi sao nhu the nao,absent_penalty
Cho mình hỏi báo lỗi ứng dụng được không bạn,feedback_help
Cho minh hoi bao loi ung dung duoc khong ban,feedback_help
Cho tôi hỏi lịch hoạt động đã đăng ký nhé,my_activities
Cho toi hoi lich hoat dong da dang ky nhe,my_activities
Có thể cho tôi biết kiểm tra hoạt động đã đăng ký được không ạ,my_activities
Co the cho toi biet kiem tra hoat dong da dang ky duoc khong a,my_activities
Bạn cho tôi biết tôi muốn tắt thông báo như thế nào giúp mình,notification_help
Ban cho toi biet toi muon tat thong bao nhu the nao giup minh,notification_help
Bạn giải thích giúp liên hệ admin như thế nào cho tôi,feedback_help
Ban giai thich giup lien he admin nhu the nao cho toi,feedback_help
Bạn kiểm tra giúp bạn có thể dịch tiếng Anh không trong hệ thống,unknown
Ban kiem tra giup ban co the dich tieng Anh khong trong he thong,unknown
Giúp tôi xem cách gửi góp ý ở đâu,feedback_help
